date,open,high,low,close,volume
1998-07-13,4.5116,4.5497,4.5116,4.5497,9600
1998-07-14,4.5435,4.6072,4.5435,4.6011,119600
1998-07-15,4.5949,4.6144,4.5754,4.5754,495600
1998-07-16,4.5692,4.5949,4.5435,4.5877,122800
1998-07-17,4.5949,4.6268,4.5877,4.6206,36800
1998-07-20,4.6463,4.6463,4.6072,4.6144,51200
1998-07-21,4.6144,4.6268,4.5497,4.5497,115600
1998-07-22,4.5240,4.5240,4.4725,4.4849,49600
1998-07-23,4.4849,4.4849,4.4407,4.4407,109600
1998-07-24,4.4468,4.4468,4.3440,4.3636,104000
1998-07-27,4.3379,4.3379,4.2093,4.2412,78400
1998-07-28,4.2278,4.2412,4.1764,4.2093,186800
1998-07-29,4.2278,4.2546,4.1836,4.2155,98400
1998-07-30,4.2155,4.2155,4.1898,4.2155,34400
1998-07-31,4.2278,4.2412,4.0551,4.0613,137200
1998-08-03,4.0356,4.0356,3.9523,3.9523,78400
1998-08-04,3.9585,3.9646,3.7405,3.7405,296800
1998-08-05,3.7271,3.8680,3.7271,3.8361,181600
1998-08-06,3.8104,3.8618,3.7981,3.8166,106400
1998-08-07,3.6377,3.6377,3.5153,3.5595,353600
1998-08-10,3.5472,3.5729,3.4444,3.4444,175200
1998-08-11,3.2706,3.3734,3.2644,3.3416,208800
1998-08-12,3.4567,3.4896,3.4125,3.4505,130400
1998-08-13,3.4701,3.5215,3.3539,3.3539,182000
1998-08-14,3.4187,3.4187,3.2963,3.3292,173200
1998-08-17,3.3025,3.4187,3.2583,3.4187,102000
1998-08-18,3.4320,3.4762,3.4320,3.4320,59200
1998-08-19,3.4444,3.4639,3.3416,3.3734,184000
1998-08-20,3.3416,3.3868,3.2778,3.2778,65200
1998-08-21,3.1678,3.1678,3.0269,3.1359,207600
1998-08-24,3.1102,3.1102,2.9879,3.0393,74800
1998-08-25,3.0907,3.1102,3.0588,3.0588,72000
1998-08-26,2.9694,2.9694,2.8851,2.9180,116800
1998-08-27,2.8018,2.8151,2.5828,2.6856,290000
1998-08-28,2.7123,2.7565,2.6342,2.6671,376800
1998-08-31,2.6732,2.7185,2.6218,2.6218,230800
1998-09-01,2.6095,2.8593,2.6095,2.7051,483200
1998-09-02,2.6928,2.9303,2.6928,2.7185,182800
1998-09-03,2.6990,2.7442,2.6218,2.6218,360400
1998-09-04,2.6342,2.6475,2.5067,2.5961,640000
1998-09-08,2.7247,2.8851,2.6928,2.8665,173600
1998-09-09,2.8532,2.8593,2.8079,2.8079,159200
1998-09-10,2.7637,2.8398,2.7442,2.8398,374000
1998-09-11,2.8275,3.0454,2.7761,3.0208,147200
1998-09-14,3.0969,3.1616,3.0969,3.1041,156800
1998-09-15,3.1144,3.1476,3.0305,3.1020,75600
1998-09-16,3.1020,3.1538,3.0823,3.1206,114400
1998-09-17,2.8886,2.9528,2.8616,2.8616,672800
1998-09-18,2.8751,2.8813,2.7715,2.8616,171200
1998-09-21,2.7974,2.8751,2.7912,2.8751,65600
1998-09-22,2.9072,2.9134,2.8751,2.8948,73200
1998-09-23,2.9134,3.0688,2.9010,3.0564,194400
1998-09-24,3.0626,3.0688,2.9528,2.9652,109600
1998-09-25,2.8616,2.9010,2.8430,2.8492,126400
1998-09-28,2.8751,2.8886,2.8295,2.8689,67200
1998-09-29,2.8813,2.9207,2.8492,2.8492,76400
1998-09-30,2.8368,2.8368,2.7456,2.7580,36800
1998-10-01,2.7062,2.7062,2.5902,2.6026,116400
1998-10-02,2.5964,2.6420,2.5259,2.5964,126000
1998-10-05,2.5964,2.6026,2.4990,2.5187,83600
1998-10-06,2.5777,2.6876,2.5705,2.6876,103600
1998-10-07,2.6876,2.8492,2.6876,2.7974,184400
1998-10-08,2.7197,2.7974,2.6938,2.7715,61200
1998-10-09,2.7850,2.8430,2.7653,2.8171,48800
1998-10-12,2.8689,2.8948,2.8233,2.8492,112400
1998-10-13,2.8295,2.8948,2.8295,2.8948,77600
1998-10-14,2.8689,3.0243,2.8689,3.0046,131600
1998-10-15,2.9984,3.1279,2.9922,3.1206,217600
1998-10-16,3.0958,3.1020,3.0108,3.0367,135600
1998-10-19,3.0108,3.0108,2.9652,2.9922,84400
1998-10-20,3.0046,3.0046,2.8751,2.8751,120400
1998-10-21,2.8751,2.8751,2.7259,2.7850,102400
1998-10-22,2.7912,2.8295,2.7777,2.8233,46000
1998-10-23,2.8233,2.8295,2.7850,2.7850,63600
1998-10-26,2.8098,2.9269,2.8098,2.8886,122800
1998-10-27,2.9134,2.9787,2.8886,2.9207,165200
1998-10-28,2.9072,2.9787,2.8813,2.9725,119200
1998-10-29,2.9269,3.0046,2.9072,3.0046,54000
1998-10-30,3.0688,3.1724,3.0564,3.1082,122800
1998-11-02,3.1144,3.2243,3.1082,3.1724,139200
1998-11-03,3.1600,3.1859,3.1279,3.1600,48000
1998-11-04,3.2118,3.2377,3.1797,3.1921,74400
1998-11-05,3.1144,3.1403,3.0502,3.1206,111600
1998-11-06,3.0958,3.1082,3.0367,3.0564,48400
1998-11-09,3.0564,3.0626,2.9922,2.9922,96000
1998-11-10,2.9849,2.9849,2.9207,2.9528,73200
1998-11-11,2.9725,2.9787,2.9528,2.9528,36400
1998-11-12,2.9269,2.9590,2.9010,2.9010,46000
1998-11-13,2.9072,2.9528,2.8616,2.9466,46800
1998-11-16,3.0108,3.0305,2.9922,3.0108,44800
1998-11-17,2.9849,3.0823,2.9590,3.0305,42000
1998-11-18,3.0046,3.0367,2.9922,3.0046,39200
1998-11-19,3.0367,3.1082,3.0367,3.0823,130800
1998-11-20,3.1600,3.3672,3.1600,3.3548,176400
1998-11-23,3.5744,3.6521,3.5620,3.6521,240400
